super,improve
Couldn't be improved,Everything good
Couldn't be improved,Nothing excellent service
Care/ Treatment,To see my doctor more often
Care/ Treatment, Flexibility of appointment clinics are run on set days by consultant  ie weekly on a Monday  Therefore longer waiting times   Counselling service on mother and baby unit and also as outpatient
Couldn't be improved,Everything excellentmore than I can say about Rowan 2
Access to Services,More sensory classes
Staff/Staff Attitude,continuity of nurses
Couldn't be improved,Nothing
Couldn't be improved,I really cant think of anything that could be improvedJoe was a great help to me 
Couldn't be improved,Nothing
Communication,Contact details or information about more specific situations
Communication,Stop people talking to long
Service Quality/Outcomes,Saving my life
Couldn't be improved,Nothing everything was fab
Staff/Staff Attitude,Staff to be allowed more time Less paperwork
Couldn't be improved,Always been polite dont think you could have done anything better I could not have done without you I would recommend you to anybody Cant fault it
Care/ Treatment,More social activities for the unit community like inter ward sports and quizzes such as football and broaden conversations etc
Couldn't be improved,Cannot think of anything that needs improving
Staff/Staff Attitude,the loss of a dedicated Parkinsons Disease Nurse will have a massive detrimental effect on PD suffers lives  Access to this service is vital to keep PD patients from hitting a crisis  If you had done your research this debacle over PD Nurses would have been avoided Slow process for patients Health Budget with Liz Proctor being rate limiting step to set this up
Couldn't be improved,Nothing
Couldn't be improved,Cant think of anything
Care/ Treatment,Activities ie art pool competition in evenings
Care/ Treatment,Improve your seclusion approach
Access to Services,To be able to see in school when I feel like it  Based in school 
Staff/Staff Attitude,more time with me
Communication,Make more visits or telephone contact with patients  but this would increase coat implications and require more qualified staff
Care/ Treatment,The pediatric services were brilliant however the transfer to adult services was handled appallingly and caused me to relapse due to a lack of support
Care/ Treatment,Sometimes I feel the service is a bit like a mirror asking me how I feel and then reflecting my answers back
Couldn't be improved,Wouldnt need to improve By and large pretty good
Couldn't be improved,Nothing at all all is very understanding and caring
Couldn't be improved,nothing  every aspect dealt with perfectly
Couldn't be improved,Everything went pretty well with my appointment
Communication,declined to feedback
Access to Services,After 1 year the hands on treatmenttherapy ended To have 2 or 3 month follow up would have felt more secure and helped prevent relapse
Couldn't be improved,Nothing
Communication,That staff listened better to my feelings and showed more respect
Care/ Treatment,Stop putting justice system coursesinterventions as a priority over the patients healthcare and moving them away from hospital areas etc To do pathetic interventions without any concern for the longterm reprecussions in health
